district,industry_code,industry_name,classification_level,core_office,core_plus_full_row,broad_office,district_industry_employment,official_city_industry_employment,district_share_of_city_industry_percentage,reference_date,employment_universe,source_table,source_url
徐汇区,P,教育,section,False,False,True,39476,478200,8.255123379339189,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
长宁区,P,教育,section,False,False,True,13263,478200,2.773525721455458,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
静安区,P,教育,section,False,False,True,22281,478200,4.659347553324969,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
普陀区,P,教育,section,False,False,True,17331,478200,3.6242158092848182,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
虹口区,P,教育,section,False,False,True,20509,478200,4.288791300710999,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
杨浦区,P,教育,section,False,False,True,47603,478200,9.954621497281472,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
闵行区,P,教育,section,False,False,True,59864,478200,12.518611459640319,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
宝山区,P,教育,section,False,False,True,33440,478200,6.9928900041823505,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
嘉定区,P,教育,section,False,False,True,22945,478200,4.798201589293183,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
浦东新区,P,教育,section,False,False,True,92073,478200,19.254077791718945,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
金山区,P,教育,section,False,False,True,11801,478200,2.4677959012965287,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
